"$cool-gray-200","--bs-cool-gray-200","","tint-color($cool-gray, 60%) !default"
"$cool-gray-300","--bs-cool-gray-300","","tint-color($cool-gray, 40%) !default"
"$cool-gray-400","--bs-cool-gray-400","","tint-color($cool-gray, 20%) !default"
"$cool-gray-500","--bs-cool-gray-500","","$cool-gray !default"
"$cool-gray-600","--bs-cool-gray-600","","shade-color($cool-gray, 20%) !default"
"$cool-gray-700","--bs-cool-gray-700","","shade-color($cool-gray, 40%) !default"
"$cool-gray-800","--bs-cool-gray-800","","shade-color($cool-gray, 60%) !default"
"$cool-gray-900","--bs-cool-gray-900","","shade-color($cool-gray, 80%) !default"
"$cool-grays","--bs-cool-grays","","( ""cool-gray-100"": $cool-gray-100, ""cool-gray-200"": $cool-gray-200, ""cool-gray-300"": $cool-gray-300, ""cool-gray-400"": $cool-gray-400, ""cool-gray-500"": $cool-gray-500, ""cool-gray-600"": $cool-gray-600, ""cool-gray-700"": $cool-gray-700, ""cool-gray-800"": $cool-gray-800, ""cool-gray-900"": $cool-gray-900 ) !default"
"$warm-gray-100","--bs-warm-gray-100","","tint-color($warm-gray, 80%) !default"
"$warm-gray-200","--bs-warm-gray-200","","tint-color($warm-gray, 60%) !default"
"$warm-gray-300","--bs-warm-gray-300","","tint-color($warm-gray, 40%) !default"
"$warm-gray-400","--bs-warm-gray-400","","tint-color($warm-gray, 20%) !default"
"$warm-gray-500","--bs-warm-gray-500","","$warm-gray !default"
"$warm-gray-600","--bs-warm-gray-600","","shade-color($warm-gray, 20%) !default"
"$warm-gray-700","--bs-warm-gray-700","","shade-color($warm-gray, 40%) !default"
"$warm-gray-800","--bs-warm-gray-800","","shade-color($warm-gray, 60%) !default"
"$warm-gray-900","--bs-warm-gray-900","","shade-color($warm-gray, 80%) !default"
"$warm-grays","--bs-warm-grays","","( ""warm-gray-100"": $warm-gray-100, ""warm-gray-200"": $warm-gray-200, ""warm-gray-300"": $warm-gray-300, ""warm-gray-400"": $warm-gray-400, ""warm-gray-500"": $warm-gray-500, ""warm-gray-600"": $warm-gray-600, ""warm-gray-700"": $warm-gray-700, ""warm-gray-800"": $warm-gray-800, ""warm-gray-900"": $warm-gray-900 ) !default"
"$leaf-100","--bs-leaf-100","","tint-color($leaf, 80%) !default"
"$leaf-200","--bs-leaf-200","","tint-color($leaf, 60%) !default"
"$leaf-300","--bs-leaf-300","","tint-color($leaf, 40%) !default"
"$leaf-400","--bs-leaf-400","","tint-color($leaf, 20%) !default"
"$leaf-500","--bs-leaf-500","","$leaf !default"
"$leaf-600","--bs-leaf-600","","shade-color($leaf, 20%) !default"
"$leaf-700","--bs-leaf-700","","shade-color($leaf, 40%) !default"
"$leaf-800","--bs-leaf-800","","shade-color($leaf, 60%) !default"
"$leaf-900","--bs-leaf-900","","shade-color($leaf, 80%) !default"
"$leafs","--bs-leafs","","( ""leaf-100"": $leaf-100, ""leaf-200"": $leaf-200, ""leaf-300"": $leaf-300, ""leaf-400"": $leaf-400, ""leaf-500"": $leaf-500, ""leaf-600"": $leaf-600, ""leaf-700"": $leaf-700, ""leaf-800"": $leaf-800, ""leaf-900"": $leaf-900 ) !default"
"$river-100","--bs-river-100","","tint-color($river, 80%) !default"
"$river-200","--bs-river-200","","tint-color($river, 60%) !default"
"$river-300","--bs-river-300","","tint-color($river, 40%) !default"
"$river-400","--bs-river-400","","tint-color($river, 20%) !default"
"$river-500","--bs-river-500","","$river !default"
"$river-600","--bs-river-600","","shade-color($river, 20%) !default"
"$river-700","--bs-river-700","","shade-color($river, 40%) !default"
"$river-800","--bs-river-800","","shade-color($river, 60%) !default"
"$river-900","--bs-river-900","","shade-color($river, 80%) !default"
"$rivers","--bs-rivers","","( ""river-100"": $river-100, ""river-200"": $river-200, ""river-300"": $river-300, ""river-400"": $river-400, ""river-500"": $river-500, ""river-600"": $river-600, ""river-700"": $river-700, ""river-800"": $river-800, ""river-900"": $river-900 ) !default"
"$silver-100","--bs-silver-100","","tint-color($silver, 80%) !default"
"$silver-200","--bs-silver-200","","tint-color($silver, 60%) !default"
"$silver-300","--bs-silver-300","","tint-color($silver, 40%) !default"
"$silver-400","--bs-silver-400","","tint-color($silver, 20%) !default"
"$silver-500","--bs-silver-500","","$silver !default"
"$silver-600","--bs-silver-600","","shade-color($silver, 20%) !default"
"$silver-700","--bs-silver-700","","shade-color($silver, 40%) !default"
"$silver-800","--bs-silver-800","","shade-color($silver, 60%) !default"
"$silver-900","--bs-silver-900","","shade-color($silver, 80%) !default"
"$silvers","--bs-silvers","","( ""silver-100"": $silver-100, ""silver-200"": $silver-200, ""silver-300"": $silver-300, ""silver-400"": $silver-400, ""silver-500"": $silver-500, ""silver-600"": $silver-600, ""silver-700"": $silver-700, ""silver-800"": $silver-800, ""silver-900"": $silver-900 ) !default"
"$mesa-100","--bs-mesa-100","","tint-color($mesa, 80%) !default"
"$mesa-200","--bs-mesa-200","","tint-color($mesa, 60%) !default"
"$mesa-300","--bs-mesa-300","","tint-color($mesa, 40%) !default"
"$mesa-400","--bs-mesa-400","","tint-color($mesa, 20%) !default"
"$mesa-500","--bs-mesa-500","","$mesa !default"
"$mesa-600","--bs-mesa-600","","shade-color($mesa, 20%) !default"
"$mesa-700","--bs-mesa-700","","shade-color($mesa, 40%) !default"
"$mesa-800","--bs-mesa-800","","shade-color($mesa, 60%) !default"
"$mesa-900","--bs-mesa-900","","shade-color($mesa, 80%) !default"
"$mesas","--bs-mesas","","( ""mesa-100"": $mesa-100, ""mesa-200"": $mesa-200, ""mesa-300"": $mesa-300, ""mesa-400"": $mesa-400, ""mesa-500"": $mesa-500, ""mesa-600"": $mesa-600, ""mesa-700"": $mesa-700, ""mesa-800"": $mesa-800, ""mesa-900"": $mesa-900 ) !default"
"$ash-100","--bs-ash-100","","tint-color($ash, 80%) !default"
"$ash-200","--bs-ash-200","","tint-color($ash, 60%) !default"
"$ash-300","--bs-ash-300","","tint-color($ash, 40%) !default"
"$ash-400","--bs-ash-400","","tint-color($ash, 20%) !default"
"$ash-500","--bs-ash-500","","$ash !default"
"$ash-600","--bs-ash-600","","shade-color($ash, 20%) !default"
"$ash-700","--bs-ash-700","","shade-color($ash, 40%) !default"
"$ash-800","--bs-ash-800","","shade-color($ash, 60%) !default"
"$ash-900","--bs-ash-900","","shade-color($ash, 80%) !default"
"$ashes","--bs-ashes","","( ""ash-100"": $ash-100, ""ash-200"": $ash-200, ""ash-300"": $ash-300, ""ash-400"": $ash-400, ""ash-500"": $ash-500, ""ash-600"": $ash-600, ""ash-700"": $ash-700, ""ash-800"": $ash-800, ""ash-900"": $ash-900 ) !default"
"$sage-100","--bs-sage-100","","tint-color($sage, 80%) !default"
"$sage-200","--bs-sage-200","","tint-color($sage, 60%) !default"
"$sage-300","--bs-sage-300","","tint-color($sage, 40%) !default"
"$sage-400","--bs-sage-400","","tint-color($sage, 20%) !default"
"$sage-500","--bs-sage-500","","$sage !default"
"$sage-600","--bs-sage-600","","shade-color($sage, 20%) !default"
"$sage-700","--bs-sage-700","","shade-color($sage, 40%) !default"
"$sage-800","--bs-sage-800","","shade-color($sage, 60%) !default"
"$sage-900","--bs-sage-900","","shade-color($sage, 80%) !default"
"$sages","--bs-sages","","( ""sage-100"": $sage-100, ""sage-200"": $sage-200, ""sage-300"": $sage-300, ""sage-400"": $sage-400, ""sage-500"": $sage-500, ""sage-600"": $sage-600, ""sage-700"": $sage-700, ""sage-800"": $sage-800, ""sage-900"": $sage-900 ) !default"
"$colors","--bs-colors","","( ""red"": $red, ""bloom"": $bloom, ""chili"": $chili, ""blue"": $blue, ""sky"": $sky, ""oasis"": $oasis, ""azurite"": $azurite, ""midnight"": $midnight, ""cool-gray"": $cool-gray, ""warm-gray"": $warm-gray, ""leaf"": $leaf, ""river"": $river, ""silver"": $silver, ""mesa"": $mesa, ""ash"": $ash, ""sage"": $sage, ""white"": $white, ""black"": $black )"
"$font-family-sans-serif","--bs-font-family-sans-serif","","proxima-nova, calibri, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, ""Noto Sans"", sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"", ""Noto Color Emoji"""
"$heading-margins","--bs-heading-margins","","1.042em 0 .667em"
"$breadcrumb-color","--bs-breadcrumb-color","","$azurite"
"$breadcrumb-hover-color","--bs-breadcrumb-hover-color","","$midnight"
"$nav-tabs-link-bg","--bs-nav-tabs-link-bg","","$gray-200"
"$nav-tabs-lg-link-padding","--bs-nav-tabs-lg-link-padding","","1.25em 1.75em"
"$navbar-nav-link-padding-y","--bs-navbar-nav-link-padding-y","","1.25rem"
"$navbar-light-border-color","--bs-navbar-light-border-color","","$gray-200"
"$primary","--bs-primary","","$red"
"$secondary","--bs-secondary","","$blue"
"$success","--bs-success","","$leaf"
"$info","--bs-info","","$sky"
"$warning","--bs-warning","","#f19e1f"
"$danger","--bs-danger","","$mesa"
"$light","--bs-light","","$gray-300"
"$dark","--bs-dark","","$gray-800"
"$theme-colors","--bs-theme-colors","","( ""primary"": $primary, ""secondary"": $secondary, ""success"": $success, ""info"": $info, ""warning"": $warning, ""danger"": $danger, ""light"": $light, ""dark"": $dark )"
"$enable-dark-mode","--bs-enable-dark-mode","","false"
"$font-size-base","--bs-font-size-base","","1rem"
"$link-color","--bs-link-color","","$red"
"$link-hover-color","--bs-link-hover-color","","$chili"
"$lead-font-weight","--bs-lead-font-weight","","400"
"$headings-font-family","--bs-headings-font-family","","$font-family-sans-serif"
"$spacer","--bs-spacer","","1rem !default"
"$spacers","--bs-spacers","","( 0: 0, min: $spacer * .0625, 1: $spacer * .25, 2: $spacer * .5, 3: $spacer, card: $spacer * 1.25, 4: $spacer * 1.5, 5: $spacer * 3, 6: $spacer * 4, 7: $spacer * 5, 8: $spacer * 6, 9: $spacer * 7, 10:$spacer * 8, 20:$spacer * 16, 30:$spacer * 24, )"
"$enable-negative-margins","--bs-enable-negative-margins","","true"
"$table-variants","--bs-table-variants","","map-merge( map-remove($colors, ""leaf"", ""river"", ""silver"", ""mesa"", ""ash"", ""sage"", ""white"", ""black""), map-remove($theme-colors, ""success"", ""danger"", ""warning"", ""info"") )"
"$table-striped-bg-factor","--bs-table-striped-bg-factor","",".09"
"$table-striped-bg","--bs-table-striped-bg","","rgba($gray-300, .35)"
"$table-hover-bg-factor","--bs-table-hover-bg-factor","",".18"
"$table-hover-bg","--bs-table-hover-bg","","rgba($gray-300, .6)"
"$accordion-button-bg","--bs-accordion-button-bg","","$gray-200"
"$accordion-button-active-bg","--bs-accordion-button-active-bg","","$gray-200"
"$accordion-button-active-color","--bs-accordion-button-active-color","","var(--bs-accordion-btn-color)"
"$breadcrumb-bg","--bs-breadcrumb-bg","","$white"
"$breadcrumb-padding-x","--bs-breadcrumb-padding-x","","1rem"
"$breadcrumb-padding-y","--bs-breadcrumb-padding-y","",".75rem"
"$breadcrumb-divider-color","--bs-breadcrumb-divider-color","","$gray-600"
"$breadcrumb-divider","--bs-breadcrumb-divider","","""\e5cc"""
"$btn-font-weight","--bs-btn-font-weight","","500"
"$btn-border-width","--bs-btn-border-width","","2px"
"$btn-padding-y","--bs-btn-padding-y","",".5rem"
"$btn-padding-x","--bs-btn-padding-x","","1.25rem"
"$btn-border-radius","--bs-btn-border-radius","","3rem"
"$btn-border-radius-sm","--bs-btn-border-radius-sm","","3rem"
"$btn-border-radius-lg","--bs-btn-border-radius-lg","","3rem"
"$dropdown-color","--bs-dropdown-color","","$cool-gray"
"$dropdown-bg","--bs-dropdown-bg","","$blue"
"$dropdown-divider-bg","--bs-dropdown-divider-bg","","$white"
"$dropdown-link-color","--bs-dropdown-link-color","","$white"
"$dropdown-link-hover-color","--bs-dropdown-link-hover-color","","$white"
"$dropdown-link-hover-bg","--bs-dropdown-link-hover-bg","","$azurite"
"$dropdown-link-active-color","--bs-dropdown-link-active-color","","$blue"
"$dropdown-link-active-bg","--bs-dropdown-link-active-bg","","$white"
"$dropdown-link-disabled-color","--bs-dropdown-link-disabled-color","","$gray-600"
"$dropdown-header-color","--bs-dropdown-header-color","","$white"
"$form-label-font-size","--bs-form-label-font-size","","1.125rem"
"$form-label-font-weight","--bs-form-label-font-weight","","700"
"$list-group-active-bg","--bs-list-group-active-bg","","$blue"
"$nav-link-font-weight","--bs-nav-link-font-weight","","700"
"$nav-link-color","--bs-nav-link-color","","$azurite"
"$nav-link-hover-color","--bs-nav-link-hover-color","","$midnight"
"$nav-link-disabled-color","--bs-nav-link-disabled-color","","$dark-silver"
"$nav-tabs-border-color","--bs-nav-tabs-border-color","","$gray-200"
"$nav-tabs-link-active-color","--bs-nav-tabs-link-active-color","","$midnight"
"$nav-tabs-link-active-bg","--bs-nav-tabs-link-active-bg","","$white"
"$nav-tabs-link-active-border-color","--bs-nav-tabs-link-active-border-color","","$nav-tabs-border-color $nav-tabs-border-color $white"
"$nav-pills-link-active-color","--bs-nav-pills-link-active-color","","$midnight"
"$nav-pills-link-active-bg","--bs-nav-pills-link-active-bg","","$gray-200"
"$nav-underline-link-active-color","--bs-nav-underline-link-active-color","","$midnight"
"$navbar-padding-y","--bs-navbar-padding-y","","0"
"$navbar-nav-link-padding-x","--bs-navbar-nav-link-padding-x","","1rem"
"$navbar-light-active-color","--bs-navbar-light-active-color","","$nav-tabs-link-active-color"
"$navbar-light-hover-color","--bs-navbar-light-hover-color","","$nav-link-hover-color"
"$navbar-light-disabled-color","--bs-navbar-light-disabled-color","","$nav-link-disabled-color"
"$pagination-color","--bs-pagination-color","","$breadcrumb-color"
"$pagination-hover-color","--bs-pagination-hover-color","","$midnight"
"$pagination-active-bg","--bs-pagination-active-bg","","$blue"
"$pagination-active-border-color","--bs-pagination-active-border-color","","$blue"
"$pagination-focus-color","--bs-pagination-focus-color","","$blue"
"$pagination-focus-ring-box-shadow","--bs-pagination-focus-ring-box-shadow","","0 0 0 .25rem rgba($blue, .25)"
"$pagination-focus-box-shadow","--bs-pagination-focus-box-shadow","","$pagination-focus-ring-box-shadow"
"$popover-font-size","--bs-popover-font-size","","$font-size-base"
"$tooltip-bg","--bs-tooltip-bg","","$blue"
"$box-shadow","--bs-box-shadow","","0 .25rem 1rem rgba($black, .15) !default"
"$box-shadow-sm","--bs-box-shadow-sm","","0 .1rem .25rem rgba($black, .075) !default"
"$box-shadow-lg","--bs-box-shadow-lg","","0 .75rem 3rem rgba($black, .175) !default"
"$focus-ring-opacity","--bs-focus-ring-opacity","",".5 !default"
"$indigo","--bs-indigo","","#6610f2 !default"
"$purple","--bs-purple","","#6f42c1 !default"
"$pink","--bs-pink","","#d63384 !default"
"$orange","--bs-orange","","#fd7e14 !default"
"$yellow","--bs-yellow","","#ffc107 !default"
"$green","--bs-green","","#198754 !default"
"$teal","--bs-teal","","#20c997 !default"
"$cyan","--bs-cyan","","#0dcaf0 !default"
"$min-contrast-ratio","--bs-min-contrast-ratio","","4.5 !default"
"$color-contrast-dark","--bs-color-contrast-dark","","$black !default"
"$color-contrast-light","--bs-color-contrast-light","","$white !default"
"$blue-100","--bs-blue-100","","tint-color($blue, 80%) !default"
"$blue-200","--bs-blue-200","","tint-color($blue, 60%) !default"
"$blue-300","--bs-blue-300","","tint-color($blue, 40%) !default"
"$blue-400","--bs-blue-400","","tint-color($blue, 20%) !default"
"$blue-500","--bs-blue-500","","$blue !default"
"$blue-600","--bs-blue-600","","shade-color($blue, 20%) !default"
"$blue-700","--bs-blue-700","","shade-color($blue, 40%) !default"
"$blue-800","--bs-blue-800","","shade-color($blue, 60%) !default"
"$blue-900","--bs-blue-900","","shade-color($blue, 80%) !default"
"$indigo-100","--bs-indigo-100","","tint-color($indigo, 80%) !default"
"$indigo-200","--bs-indigo-200","","tint-color($indigo, 60%) !default"
"$indigo-300","--bs-indigo-300","","tint-color($indigo, 40%) !default"
"$indigo-400","--bs-indigo-400","","tint-color($indigo, 20%) !default"
"$indigo-500","--bs-indigo-500","","$indigo !default"
"$indigo-600","--bs-indigo-600","","shade-color($indigo, 20%) !default"
"$indigo-700","--bs-indigo-700","","shade-color($indigo, 40%) !default"
"$indigo-800","--bs-indigo-800","","shade-color($indigo, 60%) !default"
"$indigo-900","--bs-indigo-900","","shade-color($indigo, 80%) !default"
"$purple-100","--bs-purple-100","","tint-color($purple, 80%) !default"
"$purple-200","--bs-purple-200","","tint-color($purple, 60%) !default"
"$purple-300","--bs-purple-300","","tint-color($purple, 40%) !default"
"$purple-400","--bs-purple-400","","tint-color($purple, 20%) !default"
"$purple-500","--bs-purple-500","","$purple !default"
"$purple-600","--bs-purple-600","","shade-color($purple, 20%) !default"
"$purple-700","--bs-purple-700","","shade-color($purple, 40%) !default"
"$purple-800","--bs-purple-800","","shade-color($purple, 60%) !default"
"$purple-900","--bs-purple-900","","shade-color($purple, 80%) !default"
"$pink-100","--bs-pink-100","","tint-color($pink, 80%) !default"
"$pink-200","--bs-pink-200","","tint-color($pink, 60%) !default"
"$pink-300","--bs-pink-300","","tint-color($pink, 40%) !default"
"$pink-400","--bs-pink-400","","tint-color($pink, 20%) !default"
"$pink-500","--bs-pink-500","","$pink !default"
"$pink-600","--bs-pink-600","","shade-color($pink, 20%) !default"
"$pink-700","--bs-pink-700","","shade-color($pink, 40%) !default"
"$pink-800","--bs-pink-800","","shade-color($pink, 60%) !default"
"$pink-900","--bs-pink-900","","shade-color($pink, 80%) !default"
"$red-100","--bs-red-100","","tint-color($red, 80%) !default"
"$red-200","--bs-red-200","","tint-color($red, 60%) !default"
"$red-300","--bs-red-300","","tint-color($red, 40%) !default"
"$red-400","--bs-red-400","","tint-color($red, 20%) !default"
"$red-500","--bs-red-500","","$red !default"
"$red-600","--bs-red-600","","shade-color($red, 20%) !default"
"$red-700","--bs-red-700","","shade-color($red, 40%) !default"
"$red-800","--bs-red-800","","shade-color($red, 60%) !default"
"$red-900","--bs-red-900","","shade-color($red, 80%) !default"
"$orange-100","--bs-orange-100","","tint-color($orange, 80%) !default"
"$orange-200","--bs-orange-200","","tint-color($orange, 60%) !default"
"$orange-300","--bs-orange-300","","tint-color($orange, 40%) !default"
"$orange-400","--bs-orange-400","","tint-color($orange, 20%) !default"
"$orange-500","--bs-orange-500","","$orange !default"
"$orange-600","--bs-orange-600","","shade-color($orange, 20%) !default"
"$orange-700","--bs-orange-700","","shade-color($orange, 40%) !default"
"$orange-800","--bs-orange-800","","shade-color($orange, 60%) !default"
"$orange-900","--bs-orange-900","","shade-color($orange, 80%) !default"
"$yellow-100","--bs-yellow-100","","tint-color($yellow, 80%) !default"
"$yellow-200","--bs-yellow-200","","tint-color($yellow, 60%) !default"
"$yellow-300","--bs-yellow-300","","tint-color($yellow, 40%) !default"
"$yellow-400","--bs-yellow-400","","tint-color($yellow, 20%) !default"
"$yellow-500","--bs-yellow-500","","$yellow !default"
"$yellow-600","--bs-yellow-600","","shade-color($yellow, 20%) !default"
"$yellow-700","--bs-yellow-700","","shade-color($yellow, 40%) !default"
"$yellow-800","--bs-yellow-800","","shade-color($yellow, 60%) !default"
"$yellow-900","--bs-yellow-900","","shade-color($yellow, 80%) !default"
"$green-100","--bs-green-100","","tint-color($green, 80%) !default"
"$green-200","--bs-green-200","","tint-color($green, 60%) !default"
"$green-300","--bs-green-300","","tint-color($green, 40%) !default"
"$green-400","--bs-green-400","","tint-color($green, 20%) !default"
"$green-500","--bs-green-500","","$green !default"
"$green-600","--bs-green-600","","shade-color($green, 20%) !default"
"$green-700","--bs-green-700","","shade-color($green, 40%) !default"
"$green-800","--bs-green-800","","shade-color($green, 60%) !default"
"$green-900","--bs-green-900","","shade-color($green, 80%) !default"
"$teal-100","--bs-teal-100","","tint-color($teal, 80%) !default"
"$teal-200","--bs-teal-200","","tint-color($teal, 60%) !default"
"$teal-300","--bs-teal-300","","tint-color($teal, 40%) !default"
"$teal-400","--bs-teal-400","","tint-color($teal, 20%) !default"
"$teal-500","--bs-teal-500","","$teal !default"
"$teal-600","--bs-teal-600","","shade-color($teal, 20%) !default"
"$teal-700","--bs-teal-700","","shade-color($teal, 40%) !default"
"$teal-800","--bs-teal-800","","shade-color($teal, 60%) !default"
"$teal-900","--bs-teal-900","","shade-color($teal, 80%) !default"
"$cyan-100","--bs-cyan-100","","tint-color($cyan, 80%) !default"
"$cyan-200","--bs-cyan-200","","tint-color($cyan, 60%) !default"
"$cyan-300","--bs-cyan-300","","tint-color($cyan, 40%) !default"
"$cyan-400","--bs-cyan-400","","tint-color($cyan, 20%) !default"
"$cyan-500","--bs-cyan-500","","$cyan !default"
