Arizona Bootstrap 5.1,Current Design Token,Value
"--bs-font-sans-serif","","proxima-nova, calibri, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, ""Helvetica Neue"", Arial, ""Noto Sans"", sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"", ""Segoe UI Symbol"", ""Noto Color Emoji"""
"--bs-font-monospace","","SFMono-Regular, Menlo, Monaco, Consolas, ""Liberation Mono"", ""Courier New"", monospace"
"--bs-gradient","","linear-gradient(180deg, rgba(255, 255, 255, 0.15), rgba(255, 255, 255, 0))"
"--bs-body-font-family","","var(--bs-font-sans-serif)"
"--bs-body-font-size","","1rem"
"--bs-body-font-weight","","400"
"--bs-body-line-height","","1.5"
"--bs-body-color","","#212529"
"--bs-body-color-rgb","","33, 37, 41"
"--bs-body-bg","","#fff"
"--bs-body-bg-rgb","","255, 255, 255"
"--bs-emphasis-color","","#000"
"--bs-emphasis-color-rgb","","0, 0, 0"
"--bs-secondary-color","","rgba(33, 37, 41, 0.75)"
"--bs-secondary-color-rgb","","33, 37, 41"
"--bs-secondary-bg","","#e9ecef"
"--bs-secondary-bg-rgb","","233, 236, 239"
"--bs-tertiary-color","","rgba(33, 37, 41, 0.5)"
"--bs-tertiary-color-rgb","","33, 37, 41"
"--bs-tertiary-bg","","#f8f9fa"
"--bs-tertiary-bg-rgb","","248, 249, 250"
"--bs-heading-color","","inherit"
"--bs-link-color","","#ab0520"
"--bs-link-color-rgb","","171, 5, 32"
"--bs-link-decoration","","underline"
"--bs-link-hover-color","","#8b0015"
"--bs-link-hover-color-rgb","","139, 0, 21"
"--bs-code-color","","#d63384"
"--bs-highlight-color","","#212529"
"--bs-highlight-bg","","#fff3cd"
"--bs-border-width","","1px"
"--bs-border-style","","solid"
"--bs-border-color","","#dee2e6"
"--bs-border-color-translucent","","rgba(0, 0, 0, 0.175)"
"--bs-border-radius","","0.375rem"
"--bs-border-radius-sm","","0.25rem"
"--bs-border-radius-lg","","0.5rem"
"--bs-border-radius-xl","","1rem"
"--bs-border-radius-xxl","","2rem"
"--bs-border-radius-2xl","","var(--bs-border-radius-xxl)"
"--bs-border-radius-pill","","50rem"
"--bs-box-shadow","","0 0.25rem 1rem rgba(0, 0, 0, 0.15)"
"--bs-box-shadow-sm","","0 0.1rem 0.25rem rgba(0, 0, 0, 0.075)"
"--bs-box-shadow-lg","","0 0.75rem 3rem rgba(0, 0, 0, 0.175)"
"--bs-box-shadow-inset","","inset 0 1px 2px rgba(0, 0, 0, 0.075)"
"--bs-focus-ring-width","","0.25rem"
"--bs-focus-ring-opacity","","0.5"
"--bs-focus-ring-color","","rgba(171, 5, 32, 0.5)"
"--bs-form-valid-color","","#70b865"
"--bs-form-valid-border-color","","#70b865"
"--bs-form-invalid-color","","#a95c42"
"--bs-form-invalid-border-color","","#a95c42"
"--bs-gutter-x","","1.5rem"
"--bs-gutter-y","","0"
"--bs-breakpoint-xs","","0"
"--bs-breakpoint-sm","","576px"
"--bs-breakpoint-md","","768px"
"--bs-breakpoint-lg","","992px"
"--bs-breakpoint-xl","","1200px"
"--bs-breakpoint-xxl","","1400px"
"--bs-table-color-type","","initial"
"--bs-table-bg-type","","initial"
"--bs-table-color-state","","initial"
"--bs-table-bg-state","","initial"
"--bs-table-color","","var(--bs-emphasis-color)"
"--bs-table-bg","","var(--bs-body-bg)"
"--bs-table-border-color","","var(--bs-border-color)"
"--bs-table-accent-bg","","transparent"
"--bs-table-striped-color","","var(--bs-emphasis-color)"
"--bs-table-striped-bg","","rgba(222, 226, 230, 0.35)"
"--bs-table-active-color","","var(--bs-emphasis-color)"
"--bs-table-active-bg","","rgba(var(--bs-emphasis-color-rgb), 0.1)"
"--bs-table-hover-color","","var(--bs-emphasis-color)"
"--bs-table-hover-bg","","rgba(222, 226, 230, 0.6)"
"--bs-form-select-bg-img","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 16 16'%3e%3cpath fill='none' stroke='%23343a40' stroke-linecap='round' stroke-linejoin='round' stroke-width='2' d='m2 5 6 6 6-6'/%3e%3c/svg%3e"")"
"--bs-form-check-bg","","var(--bs-body-bg)"
"--bs-form-check-bg-image","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 20 20'%3e%3cpath fill='none' stroke='%23fff' stroke-linecap='round' stroke-linejoin='round' stroke-width='3' d='m6 10 3 3 6-6'/%3e%3c/svg%3e"")"
"--bs-form-switch-bg","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-4 -4 8 8'%3e%3ccircle r='3' fill='rgba%280, 0, 0, 0.25%29'/%3e%3c/svg%3e"")"
"--bs-form-select-bg-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 8 8'%3e%3cpath fill='%2370b865' d='M2.3 6.73.6 4.53c-.4-1.04.46-1.4 1.1-.8l1.1 1.4 3.4-3.8c.6-.63 1.6-.27 1.2.7l-4 4.6c-.43.5-.8.4-1.1.1'/%3e%3c/svg%3e"")"
"--bs-btn-padding-x","","1.25rem"
"--bs-btn-padding-y","","0.5rem"
"--bs-btn-font-family","",""
"--bs-btn-font-size","","1rem"
"--bs-btn-font-weight","","500"
"--bs-btn-line-height","","1.5"
"--bs-btn-color","","var(--bs-body-color)"
"--bs-btn-bg","","transparent"
"--bs-btn-border-width","","2px"
"--bs-btn-border-color","","transparent"
"--bs-btn-border-radius","","3rem"
"--bs-btn-hover-border-color","","transparent"
"--bs-btn-box-shadow","","inset 0 1px 0 rgba(255, 255, 255, 0.15), 0 1px 1px rgba(0, 0, 0, 0.075)"
"--bs-btn-disabled-opacity","","0.65"
"--bs-btn-focus-box-shadow","","0 0 0 0.25rem rgba(var(--bs-btn-focus-shadow-rgb), .5)"
"--bs-btn-hover-color","","#fff"
"--bs-btn-hover-bg","","#91041b"
"--bs-btn-focus-shadow-rgb","","184, 43, 65"
"--bs-btn-active-color","","#fff"
"--bs-btn-active-bg","","#89041a"
"--bs-btn-active-border-color","","#800418"
"--bs-btn-active-shadow","","inset 0 3px 5px rgba(0, 0, 0, 0.125)"
"--bs-btn-disabled-color","","#fff"
"--bs-btn-disabled-bg","","#ab0520"
"--bs-btn-disabled-border-color","","#ab0520"
"--bs-dropdown-zindex","","1000"
"--bs-dropdown-min-width","","10rem"
"--bs-dropdown-padding-x","","0"
"--bs-dropdown-padding-y","","0.5rem"
"--bs-dropdown-spacer","","0.125rem"
"--bs-dropdown-font-size","","1rem"
"--bs-dropdown-color","","#e2e9eb"
"--bs-dropdown-bg","","#0c234b"
"--bs-dropdown-border-color","","var(--bs-border-color-translucent)"
"--bs-dropdown-border-radius","","var(--bs-border-radius)"
"--bs-dropdown-border-width","","var(--bs-border-width)"
"--bs-dropdown-inner-border-radius","","calc(var(--bs-border-radius) - var(--bs-border-width))"
"--bs-dropdown-divider-bg","","#fff"
"--bs-dropdown-divider-margin-y","","0.5rem"
"--bs-dropdown-box-shadow","","var(--bs-box-shadow)"
"--bs-dropdown-link-color","","#fff"
"--bs-dropdown-link-hover-color","","#fff"
"--bs-dropdown-link-hover-bg","","#1e5288"
"--bs-dropdown-link-active-color","","#0c234b"
"--bs-dropdown-link-active-bg","","#fff"
"--bs-dropdown-link-disabled-color","","#6c757d"
"--bs-dropdown-item-padding-x","","1rem"
"--bs-dropdown-item-padding-y","","0.25rem"
"--bs-dropdown-header-color","","#fff"
"--bs-dropdown-header-padding-x","","1rem"
"--bs-dropdown-header-padding-y","","0.5rem"
"--bs-position","","start"
"--bs-nav-link-padding-x","","1rem"
"--bs-nav-link-padding-y","","0.5rem"
"--bs-nav-link-font-weight","","700"
"--bs-nav-link-color","","#1e5288"
"--bs-nav-link-hover-color","","#001c48"
"--bs-nav-link-disabled-color","","#49595e"
"--bs-nav-tabs-border-width","","var(--bs-border-width)"
"--bs-nav-tabs-border-color","","#e9ecef"
"--bs-nav-tabs-border-radius","","var(--bs-border-radius)"
"--bs-nav-tabs-link-hover-border-color","","var(--bs-secondary-bg) var(--bs-secondary-bg) #e9ecef"
"--bs-nav-tabs-link-active-color","","#001c48"
"--bs-nav-tabs-link-active-bg","","#fff"
"--bs-nav-tabs-link-active-border-color","","#e9ecef #e9ecef #fff"
"--bs-nav-pills-border-radius","","var(--bs-border-radius)"
"--bs-nav-pills-link-active-color","","#001c48"
"--bs-nav-pills-link-active-bg","","#e9ecef"
"--bs-nav-underline-gap","","1rem"
"--bs-nav-underline-border-width","","0.125rem"
"--bs-nav-underline-link-active-color","","#001c48"
"--bs-navbar-padding-x","","0"
"--bs-navbar-padding-y","","0"
"--bs-navbar-color","","rgba(var(--bs-emphasis-color-rgb), 0.65)"
"--bs-navbar-hover-color","","#001c48"
"--bs-navbar-disabled-color","","#49595e"
"--bs-navbar-active-color","","#001c48"
"--bs-navbar-brand-padding-y","","0.3125rem"
"--bs-navbar-brand-margin-end","","1rem"
"--bs-navbar-brand-font-size","","1.25rem"
"--bs-navbar-brand-color","","#001c48"
"--bs-navbar-brand-hover-color","","#001c48"
"--bs-navbar-nav-link-padding-x","","1rem"
"--bs-navbar-toggler-padding-y","","0.25rem"
"--bs-navbar-toggler-padding-x","","0.75rem"
"--bs-navbar-toggler-font-size","","1.25rem"
"--bs-navbar-toggler-icon-bg","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 30 30'%3e%3cpath stroke='rgba%2833, 37, 41, 0.75%29' stroke-linecap='round' stroke-miterlimit='10' stroke-width='2' d='M4 7h22M4 15h22M4 23h22'/%3e%3c/svg%3e"")"
"--bs-navbar-toggler-border-color","","rgba(var(--bs-emphasis-color-rgb), 0.15)"
"--bs-navbar-toggler-border-radius","","3rem"
"--bs-navbar-toggler-focus-width","","0.25rem"
"--bs-navbar-toggler-transition","","box-shadow 0.15s ease-in-out"
"--bs-card-spacer-y","","1rem"
"--bs-card-spacer-x","","1rem"
"--bs-card-title-spacer-y","","0.5rem"
"--bs-card-title-color","",""
"--bs-card-subtitle-color","",""
"--bs-card-border-width","","var(--bs-border-width)"
"--bs-card-border-color","","var(--bs-border-color-translucent)"
"--bs-card-border-radius","","var(--bs-border-radius)"
"--bs-card-box-shadow","",""
"--bs-card-inner-border-radius","","calc(var(--bs-border-radius) - (var(--bs-border-width)))"
"--bs-card-cap-padding-y","","0.5rem"
"--bs-card-cap-padding-x","","1rem"
"--bs-card-cap-bg","","rgba(var(--bs-body-color-rgb), 0.03)"
"--bs-card-cap-color","",""
"--bs-card-height","",""
"--bs-card-color","",""
"--bs-card-bg","","var(--bs-body-bg)"
"--bs-card-img-overlay-padding","","1rem"
"--bs-card-group-margin","","0.75rem"
"--bs-accordion-color","","var(--bs-body-color)"
"--bs-accordion-bg","","var(--bs-body-bg)"
"--bs-accordion-transition","","color 0.15s ease-in-out, background-color 0.15s ease-in-out, border-color 0.15s ease-in-out, box-shadow 0.15s ease-in-out, border-radius 0.15s ease"
"--bs-accordion-border-color","","var(--bs-border-color)"
"--bs-accordion-border-width","","var(--bs-border-width)"
"--bs-accordion-border-radius","","var(--bs-border-radius)"
"--bs-accordion-inner-border-radius","","calc(var(--bs-border-radius) - (var(--bs-border-width)))"
"--bs-accordion-btn-padding-x","","1.25rem"
"--bs-accordion-btn-padding-y","","1rem"
"--bs-accordion-btn-color","","var(--bs-body-color)"
"--bs-accordion-btn-bg","","#e9ecef"
"--bs-accordion-btn-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 16 16' fill='none' stroke='%23212529' stroke-linecap='round' stroke-linejoin='round'%3e%3cpath d='m2 5 6 6 6-6'/%3e%3c/svg%3e"")"
"--bs-accordion-btn-icon-width","","1.25rem"
"--bs-accordion-btn-icon-transform","","rotate(-180deg)"
"--bs-accordion-btn-icon-transition","","transform 0.2s ease-in-out"
"--bs-accordion-btn-active-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 16 16' fill='none' stroke='%2344020d' stroke-linecap='round' stroke-linejoin='round'%3e%3cpath d='m2 5 6 6 6-6'/%3e%3c/svg%3e"")"
"--bs-accordion-btn-focus-box-shadow","","0 0 0 0.25rem rgba(171, 5, 32, 0.5)"
"--bs-accordion-body-padding-x","","1.25rem"
"--bs-accordion-body-padding-y","","1rem"
"--bs-accordion-active-color","","var(--bs-accordion-btn-color)"
"--bs-accordion-active-bg","","#e9ecef"
"--bs-breadcrumb-padding-x","","1rem"
"--bs-breadcrumb-padding-y","","0.75rem"
"--bs-breadcrumb-margin-bottom","","1rem"
"--bs-breadcrumb-bg","","#fff"
"--bs-breadcrumb-border-radius","",""
"--bs-breadcrumb-divider-color","","#6c757d"
"--bs-breadcrumb-item-padding-x","","0.5rem"
"--bs-breadcrumb-item-active-color","","var(--bs-secondary-color)"
"--bs-pagination-padding-x","","0.75rem"
"--bs-pagination-padding-y","","0.375rem"
"--bs-pagination-font-size","","1rem"
"--bs-pagination-color","","#1e5288"
"--bs-pagination-bg","","var(--bs-body-bg)"
"--bs-pagination-border-width","","var(--bs-border-width)"
"--bs-pagination-border-color","","var(--bs-border-color)"
"--bs-pagination-border-radius","","var(--bs-border-radius)"
"--bs-pagination-hover-color","","#001c48"
"--bs-pagination-hover-bg","","var(--bs-tertiary-bg)"
"--bs-pagination-hover-border-color","","var(--bs-border-color)"
"--bs-pagination-focus-color","","#0c234b"
"--bs-pagination-focus-bg","","var(--bs-secondary-bg)"
"--bs-pagination-focus-box-shadow","","0 0 0 0.25rem rgba(12, 35, 75, 0.25)"
"--bs-pagination-active-color","","#fff"
"--bs-pagination-active-bg","","#0c234b"
"--bs-pagination-active-border-color","","#0c234b"
"--bs-pagination-disabled-color","","var(--bs-secondary-color)"
"--bs-pagination-disabled-bg","","var(--bs-secondary-bg)"
"--bs-pagination-disabled-border-color","","var(--bs-border-color)"
"--bs-badge-padding-x","","0.65em"
"--bs-badge-padding-y","","0.35em"
"--bs-badge-font-size","","0.75em"
"--bs-badge-font-weight","","700"
"--bs-badge-color","","#fff"
"--bs-badge-border-radius","","var(--bs-border-radius)"
"--bs-alert-bg","","transparent"
"--bs-alert-padding-x","","1rem"
"--bs-alert-padding-y","","1rem"
"--bs-alert-margin-bottom","","1rem"
"--bs-alert-color","","inherit"
"--bs-alert-border-color","","transparent"
"--bs-alert-border","","var(--bs-border-width) solid var(--bs-alert-border-color)"
"--bs-alert-border-radius","","var(--bs-border-radius)"
"--bs-alert-link-color","","inherit"
"--bs-progress-height","","1rem"
"--bs-progress-font-size","","0.75rem"
"--bs-progress-bg","","var(--bs-secondary-bg)"
"--bs-progress-border-radius","","var(--bs-border-radius)"
"--bs-progress-box-shadow","","var(--bs-box-shadow-inset)"
"--bs-progress-bar-color","","#fff"
"--bs-progress-bar-bg","","#ab0520"
"--bs-progress-bar-transition","","width 0.6s ease"
"--bs-list-group-color","","var(--bs-body-color)"
"--bs-list-group-bg","","var(--bs-body-bg)"
"--bs-list-group-border-color","","var(--bs-border-color)"
"--bs-list-group-border-width","","var(--bs-border-width)"
"--bs-list-group-border-radius","","var(--bs-border-radius)"
"--bs-list-group-item-padding-x","","1rem"
"--bs-list-group-item-padding-y","","0.5rem"
"--bs-list-group-action-color","","var(--bs-secondary-color)"
"--bs-list-group-action-hover-color","","var(--bs-emphasis-color)"
"--bs-list-group-action-hover-bg","","var(--bs-tertiary-bg)"
"--bs-list-group-action-active-color","","var(--bs-body-color)"
"--bs-list-group-action-active-bg","","var(--bs-secondary-bg)"
"--bs-list-group-disabled-color","","var(--bs-secondary-color)"
"--bs-list-group-disabled-bg","","var(--bs-body-bg)"
"--bs-list-group-active-color","","#fff"
"--bs-list-group-active-bg","","#0c234b"
"--bs-list-group-active-border-color","","#0c234b"
"--bs-btn-close-color","","#000"
"--bs-btn-close-bg","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 16 16' fill='%23000'%3e%3cpath d='M.293.293a1 1 0 0 1 1.414 0L8 6.586 14.293.293a1 1 0 1 1 1.414 1.414L9.414 8l6.293 6.293a1 1 0 0 1-1.414 1.414L8 9.414l-6.293 6.293a1 1 0 0 1-1.414-1.414L6.586 8 .293 1.707a1 1 0 0 1 0-1.414'/%3e%3c/svg%3e"")"
"--bs-btn-close-opacity","","0.5"
"--bs-btn-close-hover-opacity","","0.75"
"--bs-btn-close-focus-shadow","","0 0 0 0.25rem rgba(171, 5, 32, 0.5)"
"--bs-btn-close-focus-opacity","","1"
"--bs-btn-close-disabled-opacity","","0.25"
"--bs-btn-close-filter","","invert(1) grayscale(100%) brightness(200%)"
"--bs-toast-zindex","","1090"
"--bs-toast-padding-x","","0.75rem"
"--bs-toast-padding-y","","0.5rem"
"--bs-toast-spacing","","1.5rem"
"--bs-toast-max-width","","350px"
"--bs-toast-font-size","","0.875rem"
"--bs-toast-color","",""
"--bs-toast-bg","","rgba(var(--bs-body-bg-rgb), 0.85)"
"--bs-toast-border-width","","var(--bs-border-width)"
"--bs-toast-border-color","","var(--bs-border-color-translucent)"
"--bs-toast-border-radius","","var(--bs-border-radius)"
"--bs-toast-box-shadow","","var(--bs-box-shadow)"
"--bs-toast-header-color","","var(--bs-secondary-color)"
"--bs-toast-header-bg","","rgba(var(--bs-body-bg-rgb), 0.85)"
"--bs-toast-header-border-color","","var(--bs-border-color-translucent)"
"--bs-modal-zindex","","1055"
"--bs-modal-width","","500px"
"--bs-modal-padding","","1rem"
"--bs-modal-margin","","0.5rem"
"--bs-modal-color","","var(--bs-body-color)"
"--bs-modal-bg","","var(--bs-body-bg)"
"--bs-modal-border-color","","var(--bs-border-color-translucent)"
"--bs-modal-border-width","","var(--bs-border-width)"
"--bs-modal-border-radius","","var(--bs-border-radius-lg)"
"--bs-modal-box-shadow","","var(--bs-box-shadow-sm)"
"--bs-modal-inner-border-radius","","calc(var(--bs-border-radius-lg) - (var(--bs-border-width)))"
"--bs-modal-header-padding-x","","1rem"
"--bs-modal-header-padding-y","","1rem"
"--bs-modal-header-padding","","1rem 1rem"
"--bs-modal-header-border-color","","var(--bs-border-color)"
"--bs-modal-header-border-width","","var(--bs-border-width)"
"--bs-modal-title-line-height","","1.5"
"--bs-modal-footer-gap","","0.5rem"
"--bs-modal-footer-bg","",""
"--bs-modal-footer-border-color","","var(--bs-border-color)"
"--bs-modal-footer-border-width","","var(--bs-border-width)"
"--bs-backdrop-zindex","","1050"
"--bs-backdrop-bg","","#000"
"--bs-backdrop-opacity","","0.5"
"--bs-tooltip-zindex","","1080"
"--bs-tooltip-max-width","","200px"
"--bs-tooltip-padding-x","","0.5rem"
"--bs-tooltip-padding-y","","0.25rem"
"--bs-tooltip-margin","",""
"--bs-tooltip-font-size","","0.875rem"
"--bs-tooltip-color","","var(--bs-body-bg)"
"--bs-tooltip-bg","","#0c234b"
"--bs-tooltip-border-radius","","var(--bs-border-radius)"
"--bs-tooltip-opacity","","0.9"
"--bs-tooltip-arrow-width","","0.8rem"
"--bs-tooltip-arrow-height","","0.4rem"
"--bs-popover-zindex","","1070"
"--bs-popover-max-width","","276px"
"--bs-popover-font-size","","1rem"
"--bs-popover-bg","","var(--bs-body-bg)"
"--bs-popover-border-width","","var(--bs-border-width)"
"--bs-popover-border-color","","var(--bs-border-color-translucent)"
"--bs-popover-border-radius","","var(--bs-border-radius-lg)"
"--bs-popover-inner-border-radius","","calc(var(--bs-border-radius-lg) - var(--bs-border-width))"
"--bs-popover-box-shadow","","var(--bs-box-shadow)"
"--bs-popover-header-padding-x","","1rem"
"--bs-popover-header-padding-y","","0.5rem"
"--bs-popover-header-font-size","","1rem"
"--bs-popover-header-color","","inherit"
"--bs-popover-header-bg","","var(--bs-secondary-bg)"
"--bs-popover-body-padding-x","","1rem"
"--bs-popover-body-padding-y","","1rem"
"--bs-popover-body-color","","var(--bs-body-color)"
"--bs-popover-arrow-width","","1rem"
"--bs-popover-arrow-height","","0.5rem"
"--bs-popover-arrow-border","","var(--bs-popover-border-color)"
"--bs-carousel-indicator-active-bg","","#000"
"--bs-carousel-caption-color","","#000"
"--bs-carousel-control-icon-filter","","invert(1) grayscale(100)"
"--bs-spinner-width","","2rem"
"--bs-spinner-height","","2rem"
"--bs-spinner-vertical-align","","-0.125em"
"--bs-spinner-border-width","","0.25em"
"--bs-spinner-animation-speed","","0.75s"
"--bs-spinner-animation-name","","spinner-border"
"--bs-offcanvas-zindex","","1045"
"--bs-offcanvas-width","","400px"
"--bs-offcanvas-height","","30vh"
"--bs-offcanvas-padding-x","","1rem"
"--bs-offcanvas-padding-y","","1rem"
"--bs-offcanvas-color","","var(--bs-body-color)"
"--bs-offcanvas-bg","","var(--bs-body-bg)"
"--bs-offcanvas-border-width","","var(--bs-border-width)"
"--bs-offcanvas-border-color","","var(--bs-border-color-translucent)"
"--bs-offcanvas-box-shadow","","var(--bs-box-shadow-sm)"
"--bs-offcanvas-transition","","transform 0.3s ease-in-out"
"--bs-offcanvas-title-line-height","","1.5"
"--bs-aspect-ratio","","100%"
"--bs-red-rgb","az.color.brand.blue","171, 5, 32"
"--bs-bloom-rgb","","239, 64, 86"
"--bs-chili-rgb","","139, 0, 21"
"--bs-blue-rgb","az.color.brand.red","12, 35, 75"
"--bs-sky-rgb","","129, 211, 235"
"--bs-oasis-rgb","","55, 141, 189"
"--bs-azurite-rgb","az.color.brand.azurite","30, 82, 136"
"--bs-midnight-rgb","","0, 28, 72"
"--bs-cool-gray-rgb","","226, 233, 235"
"--bs-warm-gray-rgb","","244, 237, 229"
"--bs-leaf-rgb","","112, 184, 101"
"--bs-river-rgb","","0, 125, 132"
"--bs-silver-rgb","","158, 171, 174"
"--bs-mesa-rgb","","169, 92, 66"
"--bs-ash-rgb","","64, 54, 53"
"--bs-sage-rgb","","74, 99, 78"
"--bs-dark-silver-rgb","","73, 89, 94"
"--bs-border-opacity","","1"
"--bs-text-opacity","","1"
"--bs-link-opacity","","0.1"
"--bs-link-underline-opacity","","1"
"--bs-bg-opacity","","1"
"--bs-nav-link-font-size","","var(--az-navbar-fullscreen-modal-menu-font-size)"
"--bs-navbar-brand-padding-x","","12px"
"--az-navbar-font-weight","","600"
"--az-navbar-font-size","","18px"
"--az-navbar-line-height","","22px"
"--az-navbar-font-family","","proxima-nova-condensed, proxima-nova, calibri, -apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, Noto Sans, sans-serif, Apple Color Emoji, Segoe UI Emoji, Segoe UI Symbol, Noto Color Emoji"
"--az-navbar-font","","normal normal var(--az-navbar-font-weight) var(--az-navbar-font-size) / var(--az-navbar-line-height) var(--az-navbar-font-family)"
"--az-navbar-font-color","","#1e5288"
"--az-navbar-font-hover-color","","#0c234b"
"--az-navbar-font-active-color","","#0c234b"
"--az-navbar-font-disabled-color","","#49595e"
"--az-navbar-border-color","","#e2e9eb"
"--az-navbar-accent-color","","#ab0520"
"--az-navbar-min-height","","60px"
"--az-navbar-nav-item-margin-y","","18px"
"--az-navbar-nav-link-padding-y","","18px"
"--az-navbar-vr-margin-y","","17px"
"--az-navbar-dropdown-toggle-icon","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' height='24px' viewBox='0 -960 960 960' width='24px' fill='%231e5288'%3e%3cpath d='m480-453-95-95q-11-11-27.5-11T329-548q-12 12-12 28.5t12 28.5l123 123q12 12 28 12t28-12l124-124q12-12 11.5-28T631-548q-12-11-28-11.5T575-548l-95 95Zm0 373q-83 0-156-31.5T197-197q-54-54-85.5-127T80-480q0-83 31.5-156T197-763q54-54 127-85.5T480-880q83 0 156 31.5T763-763q54 54 85.5 127T880-480q0 83-31.5 156T763-197q-54 54-127 85.5T480-80Zm0-80q134 0 227-93t93-227q0-134-93-227t-227-93q-134 0-227 93t-93 227q0 134 93 227t227 93Zm0-320Z'/%3e%3c/svg%3e"")"
"--az-navbar-dropdown-toggle-icon-active","","url(""data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' height='24px' viewBox='0 -960 960 960' width='24px' fill='%23ab0520'%3e%3cpath d='m480-453-95-95q-11-11-27.5-11T329-548q-12 12-12 28.5t12 28.5l123 123q12 12 28 12t28-12l124-124q12-12 11.5-28T631-548q-12-11-28-11.5T575-548l-95 95Zm0 373q-83 0-156-31.5T197-197q-54-54-85.5-127T80-480q0-83 31.5-156T197-763q54-54 127-85.5T480-880q83 0 156 31.5T763-763q54 54 85.5 127T880-480q0 83-31.5 156T763-197q-54 54-127 85.5T480-80Z'/%3e%3c/svg%3e"")"
